nu,sw
400.016677,5.73e-82
400.14237,1.918e-99
400.188432,1.905e-99
400.224318,2.106e-99
400.238477,2.606e-99
400.258659,2.106e-99
400.264238,7.350000000000002e-97
400.447506,2.601e-99
400.615901,1.043e-91
400.696762,9.192e-90
400.741245,9.128e-90
400.784995,1.013e-89
400.817738,1.013e-89
400.891675,8.273e-66
400.900373,3.517e-52
401.006411,2.317e-39
401.050927,3.445e-52
401.051646,8.241e-66
401.096768,1.821e-92
401.103019,1.818e-87
401.151857,2.334e-39
401.346744,9.862e-85
401.352139,9.074e-78
401.503863,3.19e-96
401.536895,1.731e-85
401.580844,1.719e-85
401.583984,5.349e-95
401.627651,1.917e-85
401.629502,5.312e-95
401.65985,1.9160000000000002e-85
401.668286,5.881e-95
401.678268,3.433e-88
401.702073,5.879e-95
401.709715,3.183e-96
401.836488,2.234e-69
401.863218,7.294e-97
402.002888,2.226e-69
402.015106,6.773e-85
402.112381,1.144e-78
402.124393,1.008e-83
402.167811,1.006e-83
402.21775,1.524e-83
402.220151,1.2269999999999999e-97
402.249406,1.519e-83
402.449112,4.543e-93
402.471058,1.937e-55
402.589276,6.524999999999999e-73
402.629211,1.919e-55
402.651352,4.533e-93
402.673574,1.807e-92
402.760252,1.4789999999999999e-90
402.761811,6.505e-73
402.805228,1.468e-90
402.846964,1.629e-90
402.880199,1.628e-90
402.987108,4.212e-44
403.099083,7.483999999999998e-90
403.126648,3.111e-93
403.140963,4.271e-44
403.141009,2.102e-76
403.232854,3.4059999999999995e-88
403.297301,7.467e-90
403.319367,2.097e-76
403.475525,1.418e-86
403.48114,7.568999999999999e-80
403.547428,6.717000000000001e-85
403.55045,8.282e-96
403.596471,8.224e-96
403.597392,3.073e-83
403.622395,1.1350000000000002e-78
403.633303,9.1e-96
403.664994,7.549e-80
403.667593,9.097e-96
403.669326,1.415e-86
403.677588,3.04e-86
403.722026,3.019e-86
403.766775,3.363e-86
403.780738,6.283e-89
403.786399,3.066e-83
403.799461,3.361e-86
403.831311,1.217e-97
403.873225,5.647e-59
404.038732,5.612e-59
404.15985,2.024e-98
404.188847,2.442e-85
404.341036,3.558e-83
404.356109,1.372e-79
404.384937,3.536e-83
404.432772,4.183e-83
404.46491,4.179e-83
404.604806,1.078e-99
404.715638,3.087e-93
404.733347,3.225e-35
404.805612,2.345e-91
404.80883,1.884e-50
404.833776,1.075e-99
404.851087,2.328e-91
404.889557,3.241e-35
404.890832,2.581e-91
404.924564,2.58e-91
404.970885,2.26e-50
405.102057,1.432e-62
405.140753,5.241999999999999e-94
405.274661,1.425e-62
405.347515,6.234e-89
405.498271,1.268e-96
405.544801,1.2590000000000001e-96
405.579701,1.392e-96
405.614497,1.392e-96
405.733366,2.422e-85
405.783194,2.008e-98
405.800529,5.201e-87
405.84546,5.1640000000000005e-87
405.867865,1.125e-89
405.878325,1.3610000000000002e-79
405.888177,5.746e-87
405.921354,5.743e-87
405.971277,1.319e-96
406.083171,3.302e-99
406.151892,3.614e-66
406.197073,1.316e-96
406.331316,3.6e-66
406.347672,6.797e-86
406.468547,2.09e-52
406.540295,1.651e-83
406.584684,1.64e-83
406.585344,1.56e-80
406.630441,1.882e-83
406.638582,2.053e-52
406.663066,1.881e-83
406.741932,5.202e-94
406.797418,8.121e-40
406.832718,3.666e-92
406.878696,3.641e-92
406.916472,4.033e-92
406.950706,4.031e-92
406.96241,8.185e-40
407.014176,1.88e-93
407.01607,9.617e-70
407.138919,8.717e-95
407.202024,9.583e-70
407.236354,1.876e-93
407.427319,1.919e-97
407.446837,1.116e-89
407.474362,1.906e-97
407.507351,2.107e-97
407.542658,2.106e-97
407.686772,2.779e-73
407.718705,3.277e-99
407.758755,3.103e-90
407.878949,2.77e-73
407.904392,6.742e-86
407.905595,8.686999999999999e-88
407.939488,1.974e-90
407.951023,8.625999999999999e-88
407.962737,9.361e-56
407.976889,3.096e-90
407.991732,9.588e-88
408.025405,9.583e-88
408.119767,1.548e-80
