wavenumber,NO,NO2,SO2
587.0,3.287102056616996e-75,1.0033320999702018e-25,1.4074528178620452e-25
588.0,4.651346677833293e-55,1.17542691249634e-25,2.182201875488656e-22
589.0,9.704906846802227e-56,1.3911932906130594e-25,5.5342995090050695e-22
590.0,5.256619409478331e-68,1.4250391207153225e-25,6.476384764317946e-25
591.0,1.5246758587185027e-87,1.7303023579780993e-25,8.112233332775678e-27
592.0,7.992297099754254e-76,2.0731710446377936e-25,5.653827286455429e-25
593.0,5.278748438381435e-76,2.33488086245951e-25,3.3549557030938124e-25
594.0,2.26059548486324e-52,2.3142811338297793e-25,2.813368573161098e-26
595.0,5.686789599682119e-69,2.534903015283111e-25,8.448667936044908e-27
596.0,3.871451309918206e-80,2.7856981303495504e-25,1.2196553586077025e-25
597.0,1.2199634721909556e-84,1.6723435698628395e-25,9.094170854282312e-28
598.0,2.7623790692184155e-60,2.370846969990778e-25,5.507698378654909e-28
599.0,3.206542998654348e-56,3.280406558615485e-25,4.537855207191779e-25
600.0,1.9477222306224674e-53,4.989256114958538e-25,1.258791484215457e-26
601.0,3.775394616864995e-52,5.917829937128172e-25,1.8997103267713884e-25
602.0,1.0572165894239086e-64,6.631921517354072e-25,9.48130356390421e-27
603.0,5.4938132199773205e-77,4.487953251457612e-25,6.467714285312609e-27
604.0,2.2730278988939812e-73,3.1992813605989127e-25,2.095485947995072e-26
605.0,3.099272563311394e-73,1.9778862547287235e-25,1.0018153054410291e-27
606.0,9.345929804585738e-82,6.005122448299702e-25,5.4019930991255635e-25
607.0,5.935776306341531e-66,1.12781443691122e-24,2.904767136119842e-26
608.0,1.0050021823929617e-66,1.335583404192157e-24,2.0658293783657213e-25
609.0,9.988383881653672e-75,1.5197103987447029e-24,9.18689977681629e-25
610.0,5.688195762643835e-62,1.470845780371343e-24,1.2590384349879756e-27
611.0,3.1586428729970776e-86,1.495974128579608e-24,1.845537130818901e-27
612.0,3.6711353895589865e-53,9.974852410631285e-25,1.1170355461872895e-22
613.0,2.9757312887212093e-78,3.6295697469183287e-25,1.185342370778771e-27
614.0,1.7924836973325334e-90,6.118745591690266e-25,2.5585407925421076e-26
615.0,7.163289010907832e-93,1.9252445273068022e-24,2.7224510385857715e-27
616.0,6.842367675040651e-54,2.975336662914092e-24,1.4460931944214148e-27
617.0,1.660235095756216e-70,3.170393449508418e-24,9.579082087754848e-26
618.0,7.714017099549944e-96,1.1111091086423237e-25,2.1589870654896284e-28
619.0,1.7014786342524133e-62,3.994887948207171e-24,6.196225550042364e-26
620.0,6.376898501629957e-75,5.915751623979446e-25,3.0857928949312673e-28
621.0,9.918674688163815e-72,3.1344930173300236e-24,6.26930459773828e-26
622.0,4.748467704714586e-59,8.54926409521624e-25,1.448228250015769e-25
623.0,2.986503900651547e-84,6.181349077074962e-25,1.2694276527337585e-26
624.0,6.0139808636811605e-64,1.22e-25,3.106485753996143e-28
625.0,3.623170641949776e-64,9.308431998239324e-25,3.303943410353949e-28
626.0,3.808290117890878e-80,6.668533694465472e-24,3.0302197931994007e-25
627.0,6.707323652351993e-55,6.689686640481179e-25,5.105446373423995e-26
628.0,2.487076911696923e-85,9.912988039183862e-26,1.652617848934961e-27
629.0,1.1000412048368058e-55,1.7813677984694155e-24,2.080156534826646e-24
630.0,2.119016142270314e-76,3.509890142725383e-24,9.071934577110776e-27
631.0,1.0320074135290843e-59,1.101695435208502e-24,4.322905852470188e-28
632.0,1.668623495617498e-72,1.4591241610794976e-24,8.282365563032773e-25
633.0,1.2953336170911078e-68,5.405717689833599e-24,1.5983549888972686e-28
634.0,1.9806313991154833e-72,8.985501347221418e-24,3.1714337765131996e-24
635.0,1.349755830846678e-81,2.3350784774146353e-24,1.006903506656275e-27
636.0,2.312493206699521e-64,1.830143498031073e-24,2.398609623678838e-27
637.0,1.1803656118570479e-73,4.519238187760509e-24,1.0993729454576683e-26
638.0,7.522654496119148e-57,3.5148587570474637e-25,1.1468253980902004e-27
639.0,4.410066202225529e-57,2.4311591901545616e-24,3.0087703955732985e-27
640.0,6.822635929116646e-82,9.650680247969072e-25,2.4026054616409304e-26
641.0,2.7136967902192543e-65,5.688269390133061e-25,9.776532711118861e-28
642.0,1.2731196592214797e-73,1.7471941334907214e-25,1.0099494537037901e-26
643.0,5.459748732190928e-61,1.7945904173138935e-23,3.4241148084045706e-24
644.0,9.9729326889197e-87,3.2829887033524327e-24,3.130168121917626e-28
645.0,1.513728736120661e-95,8.745560966655638e-24,2.6915332603875263e-27
646.0,5.377579473120945e-75,1.7856856994998135e-25,5.533206855317061e-26
647.0,6.34432131652481e-75,3.4009023862205886e-24,9.936726580328257e-28
648.0,5.8887498701784315e-62,2.07628288654506e-24,7.414471332868387e-26
649.0,1.611345614056267e-91,1.6312636473140814e-23,8.66679156851776e-27
650.0,3.751588512014014e-66,7.100316456113608e-25,8.684801660944728e-28
651.0,3.31918158229933e-83,1.3125883426206839e-23,4.448924504821883e-28
652.0,4.49289411783643e-62,1.9404621786568867e-24,3.1135780148713965e-26
653.0,4.92339124280593e-71,6.269633429253297e-25,9.437116363109583e-28
654.0,6.428296278532361e-80,1.3604468656378587e-25,8.082827586230805e-28
655.0,1.2340828235802096e-71,2.2199240218041e-24,1.6698395717201098e-26
656.0,1.577749462810803e-67,6.964512123002627e-24,1.4693726592428428e-28
657.0,2.1597146236200207e-80,2.1297729632419974e-24,1.038416990260521e-27
658.0,5.15611472065508e-85,2.5055789080477994e-23,7.527510952907818e-27
659.0,8.028971475227264e-59,6.608206892354181e-25,1.0655612033212547e-27
660.0,4.724425216848566e-76,3.537533172889497e-24,2.178207900204225e-28
661.0,8.7550790799881e-59,6.515768019249675e-25,3.1825261805289274e-27
662.0,1.59937049720723e-68,4.26086042745893e-24,3.0793564711306913e-27
663.0,1.3624178003946193e-72,2.9769254592707886e-24,3.791620957143088e-27
664.0,7.021479291525629e-64,3.7830875634967853e-23,1.7032082144524784e-25
665.0,1.5983747777413825e-77,1.6945907592704574e-24,5.63471567272302e-27
666.0,2.210060347853812e-59,2.6422660388457128e-23,6.505153142345122e-28
667.0,3.7105747456997573e-65,5.701321009356782e-24,3.641490577400045e-27
668.0,4.635820356194057e-86,1.9483805240402536e-25,7.647555379843834e-27
669.0,3.359541765265444e-64,2.171143817803887e-25,2.7041345932552694e-27
