wavenumber,mixed_spectrum
587.0,8.235686853466943e-26
588.0,6.551307334115952e-23
589.0,1.660846330017766e-22
590.0,2.5129310775815126e-25
591.0,7.164576431895668e-26
592.0,2.525416603791746e-25
593.0,1.9404390559119475e-25
594.0,1.010113510726745e-25
595.0,1.039307209921379e-25
596.0,1.4801758597221308e-25
597.0,6.716656792014207e-26
598.0,9.499910975099076e-26
599.0,2.6735191856037277e-25
600.0,2.033466190509879e-25
601.0,2.937045072882685e-25
602.0,2.6812125176333414e-25
603.0,1.8145844434389826e-25
604.0,1.3425771226794174e-25
605.0,7.941599478078127e-26
606.0,4.0226469090575503e-25
607.0,4.598400761728475e-25
608.0,5.962082430278345e-25
609.0,8.834911528023697e-25
610.0,5.887160236790337e-25
611.0,5.9894331257108895e-25
612.0,3.3910060482043936e-23
613.0,1.455383925879668e-25
614.0,2.5242544604523695e-25
615.0,7.709145462342967e-25
616.0,1.1905684931239634e-24
617.0,1.296894626066632e-24
618.0,4.4509133957657635e-26
619.0,1.6165438559329958e-24
620.0,2.3672263874602577e-25
621.0,1.2726051207252246e-24
622.0,3.854174113091227e-25
623.0,2.5106224604119977e-25
624.0,4.8893194572619883e-26
625.0,3.7243639823188357e-25
626.0,2.758320071582171e-24
627.0,2.8290380473951917e-25
628.0,4.014773751141594e-26
629.0,1.3365940798357601e-24
630.0,1.4066776374632868e-24
631.0,4.40807861258975e-25
632.0,8.321206313227822e-25
633.0,2.162335026583107e-24
634.0,4.5456306718425276e-24
635.0,9.343334620178513e-25
636.0,7.32776982099533e-25
637.0,1.8109933939405764e-24
638.0,1.4093839790132565e-25
639.0,9.733663071804965e-25
640.0,3.9323502630368567e-25
641.0,2.27824071586656e-25
642.0,7.291761370074023e-26
643.0,8.205596111776947e-24
644.0,1.3132893863846308e-24
645.0,3.499031846640372e-24
646.0,8.802704854594373e-26
647.0,1.3606590562856453e-24
648.0,8.527565686166292e-25
649.0,6.5276546267268814e-24
650.0,2.8427320229437264e-25
651.0,5.250486838217881e-24
652.0,7.855256055073689e-25
653.0,2.5106845066102516e-25
654.0,5.466035945310128e-26
655.0,8.929791274368005e-25
656.0,2.785848930380828e-24
657.0,8.52220710393877e-25
658.0,1.0024573885477071e-23
659.0,2.6464794405516364e-25
660.0,1.4150786153928051e-24
661.0,2.6158547862414567e-25
662.0,1.705267977924911e-24
663.0,1.1919076699954585e-24
664.0,1.5183446500420713e-23
665.0,6.7952671841e-25
666.0,1.0569259309977122e-23
667.0,2.281620850915933e-24
668.0,8.02294875755633e-26
669.0,8.765699309013206e-26
670.0,3.324978083783037e-25
671.0,1.1142872396286332e-23
672.0,5.938411221615511e-25
673.0,1.7458752480791444e-24
674.0,1.8138683071200899e-25
675.0,3.1492019085659095e-25
676.0,9.107904143843496e-26
677.0,1.2774402590776122e-25
678.0,7.332320918716988e-26
679.0,4.594735677384992e-25
680.0,7.087669286779237e-25
681.0,2.609418034273641e-24
682.0,1.6293533307328513e-25
683.0,4.130382900552895e-24
684.0,3.662006332325275e-24
685.0,2.1231595330836016e-23
686.0,1.8022776234780536e-24
687.0,6.735401672751283e-25
688.0,2.7462114348899515e-25
689.0,7.984732201848295e-24
690.0,1.7371995588600075e-24
691.0,5.233167217484551e-24
692.0,7.958502439795957e-25
693.0,3.4148907932728785e-24
694.0,5.52244780626737e-25
695.0,6.787073455836547e-26
696.0,1.753065145522548e-24
697.0,7.03939993858276e-24
698.0,3.9934704152821e-25
699.0,1.0294480881406584e-25
700.0,2.6645548241064326e-24
701.0,2.608934492142202e-25
702.0,4.99609767368916e-24
703.0,4.93105447332013e-24
704.0,2.416397055319155e-25
705.0,3.623012658153823e-25
706.0,1.0198566804436309e-25
707.0,2.304900933183124e-25
708.0,2.1725616377706097e-24
709.0,3.689389601790956e-24
710.0,6.732607528580498e-25
711.0,4.809065871188124e-25
712.0,1.9692353999186965e-24
713.0,4.497639635511752e-24
714.0,1.7360051882825948e-25
715.0,3.5282639199844116e-25
716.0,6.815374144723469e-25
717.0,5.684435534272706e-24
718.0,2.606427335797856e-24
719.0,3.4886492769389985e-25
720.0,1.1809478330324387e-25
721.0,7.965752029094424e-24
722.0,2.935404731868039e-24
723.0,9.135184572899216e-26
724.0,8.907934858737041e-24
725.0,5.590515205110708e-24
726.0,3.4527039377876134e-24
727.0,5.6324831652097904e-24
728.0,9.682603220604244e-24
729.0,3.395209333455833e-24
730.0,1.2901953461772733e-24
731.0,4.1614040868096304e-24
732.0,1.352611012615691e-24
733.0,2.936979658840459e-24
734.0,1.2232580201694626e-24
735.0,6.622942743798085e-25
736.0,1.1992637979844988e-24
737.0,1.605033210522598e-23
738.0,2.542403139259981e-23
739.0,1.764792251766446e-24
740.0,1.3121332758216247e-23
741.0,8.698126457447071e-25
742.0,9.492675233107391e-25
743.0,7.7649144831782705e-25
744.0,1.2905722268165139e-23
745.0,1.0216602135428061e-23
746.0,2.7849116397396347e-24
747.0,8.0190473948582065e-25
748.0,5.025535168145294e-24
749.0,1.8849694424304557e-25
750.0,2.445716536800767e-25
751.0,3.576079340440923e-24
752.0,1.312208066621688e-24
753.0,8.08123350156488e-25
754.0,1.0029321442837548e-24
755.0,1.5150506268935512e-25
756.0,5.686216079706389e-25
757.0,4.2964044811822055e-24
758.0,1.1968955860058592e-24
759.0,6.131857279711857e-24
760.0,1.8406547884471054e-23
761.0,5.278094342370222e-24
762.0,1.9475395141571052e-23
763.0,1.4104023473907504e-24
764.0,7.510820406137619e-26
765.0,3.01359832022401e-25
766.0,1.0943951391192184e-24
767.0,2.4809913811377394e-24
768.0,3.155316641114137e-24
769.0,8.248245147445476e-24
770.0,8.353055573817958e-24
771.0,4.5096848424555345e-24
772.0,7.209587346892719e-24
773.0,2.189876152502511e-24
774.0,7.078501767739622e-25
775.0,3.273395366672399e-25
776.0,1.7891334903760828e-25
777.0,3.2899125103595736e-25
778.0,8.380232033623905e-26
779.0,8.73755921594086e-25
780.0,9.690478947781196e-24
781.0,2.6081808951849238e-23
782.0,1.2875933765667545e-24
783.0,2.921225901565491e-24
784.0,2.3540938952495273e-25
785.0,3.496446019084947e-25
786.0,7.239736142216784e-25
787.0,5.260875337389285e-25
788.0,2.911117512192075e-25
789.0,2.6769575466791962e-24
790.0,5.47989870687853e-24
791.0,6.071900912151329e-24
792.0,4.622714726833888e-24
793.0,4.02288010871836e-25
794.0,2.935702679355458e-24
795.0,1.5304701808186167e-24
796.0,2.6803209747335646e-24
797.0,1.6659554221633833e-25
798.0,1.2413696355117842e-23
799.0,9.918365470367109e-24
800.0,9.465195909943609e-26
801.0,2.0270368525288236e-24
802.0,3.98788622553527e-24
803.0,8.304649690169727e-25
804.0,5.8992979433041415e-25
805.0,5.3842162046280175e-25
806.0,2.145681197900558e-24
807.0,6.410536091264231e-24
808.0,1.9942242658342224e-25
809.0,1.52462970211005e-24
810.0,7.592724833567368e-24
811.0,2.333753893267672e-23
812.0,3.768197916290907e-24
813.0,1.1991272521483273e-24
