,NO,NO2,SO2
587.0cm-1,-1.2859886576619714e+22,-5.0164143915060514e+20,1.3361528015770293e+22
588.0cm-1,-3.5920931089307095e+18,-1.1210462533434442e+18,4.713139362274159e+18
589.0cm-1,-1.7551516793019791e+18,-3.674587115005738e+17,2.122610390802561e+18
590.0cm-1,-1.3133360823073018e+21,-2.707552897261303e+20,1.584091372033443e+21
591.0cm-1,-8.95335298786052e+20,2.4277262497244764e+21,-1.5323909509384556e+21
592.0cm-1,-2.3237365765837022e+21,-1.5722475801485407e+20,2.480961334598556e+21
593.0cm-1,-6.25846296005598e+21,-7.295863220521046e+20,6.988049282108038e+21
594.0cm-1,-2.2799474374741257e+21,1.9527023090596952e+21,3.272451284144413e+20
595.0cm-1,1.8226411956765283e+21,1.5105332022707757e+21,-3.333174397947297e+21
596.0cm-1,-3.1868579745216783e+21,2.1981026507269252e+21,9.887553237948246e+20
597.0cm-1,9.324281548179294e+20,1.7736722422287858e+21,-2.7061003970468e+21
598.0cm-1,1.8804434715425272e+21,1.219729256001291e+21,-3.100172727543822e+21
599.0cm-1,-3.8037772484405536e+21,-4.8388174798833123e+20,4.287658996428877e+21
600.0cm-1,-4.868419006030886e+20,1.1234373476435532e+21,-6.365954470404567e+20
601.0cm-1,-1.5780034831236507e+21,4.798752216814454e+20,1.0981282614421712e+21
602.0cm-1,-5.50087894871035e+20,4.8253286299533954e+20,6.7555031875692724e+19
603.0cm-1,-2.727660401215721e+20,7.313309247481922e+20,-4.5856488462662133e+20
604.0cm-1,4.779393594114385e+20,1.28681622487606e+21,-1.7647555842875198e+21
605.0cm-1,5.1182670711141184e+20,1.3839832784412226e+21,-1.8958099855526752e+21
606.0cm-1,-2.8140527094405115e+21,6.632859544754836e+20,2.1507667549650304e+21
607.0cm-1,-1.1552096954294688e+20,4.1618744141722845e+20,-3.006664718742785e+20
608.0cm-1,-7.137020843430463e+20,4.512350999971926e+20,2.624669843458525e+20
609.0cm-1,-1.0654389797790939e+21,1.932733698304917e+20,8.721656099485906e+20
610.0cm-1,-1.7733747221218083e+20,3.32360243732282e+20,-1.550227715201004e+20
611.0cm-1,-3.0089451912764363e+19,2.6902140434558747e+20,-2.3893195243282845e+20
612.0cm-1,-8.011402096666269e+18,-2.2461621907372099e+18,1.025756428740348e+19
613.0cm-1,-4.306015816884651e+20,1.0425794523724537e+21,-6.119778706839716e+20
614.0cm-1,-3.838559875896002e+20,7.03641364761622e+20,-3.197853771720423e+20
615.0cm-1,-5.1763355663355216e+19,2.5936003305622998e+20,-2.0759667739287175e+20
616.0cm-1,1.8427759928895107e+19,1.23000763950392e+20,-1.4142852387928785e+20
617.0cm-1,-2.7894757703191967e+18,1.1694238303577117e+20,-1.1415290726544772e+20
618.0cm-1,-4.792126444803808e+20,3.0791884602349815e+21,-2.5999758157545986e+21
619.0cm-1,2.6729051973030752e+19,1.0818617336344889e+20,-1.3491522533648263e+20
620.0cm-1,-1.4071388229407182e+20,6.888051092223314e+20,-5.4809122692824485e+20
621.0cm-1,-2.698001445784775e+19,1.2400333501122526e+20,-9.702332055338094e+19
622.0cm-1,-1.942634976835638e+20,5.7607882469061355e+20,-3.818153270070563e+20
623.0cm-1,1.4482251225236727e+20,6.81524613388788e+20,-8.263471256411495e+20
624.0cm-1,-1.1739264751194033e+21,2.7348632058971643e+21,-1.5609367307777168e+21
625.0cm-1,-3.5143797728057e+20,4.6392329294405016e+20,-1.1248531566348077e+20
626.0cm-1,-2.1096860049478467e+18,6.102401891048332e+19,-5.891433290553399e+19
627.0cm-1,-3.22270349107162e+20,6.123227945094285e+20,-2.9005244540228587e+20
628.0cm-1,-3.498183206287363e+21,3.1202885258294455e+21,3.778946804578862e+20
629.0cm-1,-8.79890553743254e+20,-7.1820839992512635e+19,9.517113937357643e+20
630.0cm-1,2.7023222904103256e+19,1.0454471469655155e+20,-1.3156793760065487e+20
631.0cm-1,-2.081713126820971e+20,3.1990867415537084e+20,-1.1173736147326119e+20
632.0cm-1,-6.275856319654904e+20,2.1013121206297385e+20,4.1745441990251564e+20
633.0cm-1,-2.3474297736068678e+19,9.045374653348676e+19,-6.697944879741874e+19
634.0cm-1,-1.2927077699703995e+20,9.386586160409964e+19,3.540491539294018e+19
635.0cm-1,-8.459561743977072e+19,1.7469632140554132e+20,-9.010070396576853e+19
636.0cm-1,-3.001950327376873e+19,2.4951000546377905e+20,-2.1949050219001273e+20
637.0cm-1,-2.6770403180536676e+19,9.897163996581511e+19,-7.22012367852771e+19
638.0cm-1,-4.394390250704367e+19,7.777688421124321e+20,-7.338249396054091e+20
639.0cm-1,1.5700213765081532e+19,1.7307668126356383e+20,-1.8877689502864156e+20
640.0cm-1,-3.6512887527278504e+20,4.3404330914526855e+20,-6.891443387247689e+19
641.0cm-1,2.8413591595176713e+20,8.459081513705168e+20,-1.1300440673222804e+21
642.0cm-1,2.801424146177735e+21,1.756820883801579e+21,-4.558245029979319e+21
643.0cm-1,-3.994609194873703e+19,3.5738121899226685e+19,4.207970049510827e+18
644.0cm-1,-1.5325833988918227e+19,1.0630474147721542e+20,-9.0978907488295e+19
645.0cm-1,-4.811921792578233e+19,5.073069066313985e+19,-2.611472737357884e+18
646.0cm-1,-4.001604448073767e+21,2.7530016884483115e+21,1.248602759625463e+21
647.0cm-1,-1.0233278337251492e+19,1.1510407102625998e+20,-1.0487079268900797e+20
648.0cm-1,-9.001628560529075e+19,2.6186177773501098e+20,-1.7184549212972168e+20
649.0cm-1,-6.893174894207018e+18,2.0648887828097577e+19,-1.3755712933890726e+19
650.0cm-1,-2.095470157589816e+20,5.033686229400589e+20,-2.938216071810805e+20
651.0cm-1,1.4105534597886777e+19,3.5531703526442918e+19,-4.963723812433033e+19
652.0cm-1,1.4838487672822438e+20,1.2033574949749878e+20,-2.687206262257245e+20
653.0cm-1,1.0884416230353006e+20,6.707254300409092e+20,-7.795695923444392e+20
654.0cm-1,-1.9089346724210394e+21,2.847154779048038e+21,-9.382201066270337e+20
655.0cm-1,-7.571632555439615e+19,1.8310817539730384e+20,-1.0739184984290605e+20
656.0cm-1,2.7861925247674706e+18,6.284617435848105e+19,-6.563236688325009e+19
657.0cm-1,-2.2271333475689064e+20,2.4538444199288812e+20,-2.2671107235997094e+19
658.0cm-1,4.20929421355086e+18,1.176600296421405e+19,-1.5975297177764856e+19
659.0cm-1,-3.415161901323248e+20,7.175390032471134e+20,-3.7602281311479805e+20
660.0cm-1,5.272148671820657e+19,1.058756304569311e+20,-1.5859711717513917e+20
661.0cm-1,-2.1088147672832125e+20,8.682485376353419e+20,-6.573670609070027e+20
662.0cm-1,1.7353779995320392e+18,7.878733577093654e+19,-8.05227137704677e+19
663.0cm-1,3.697859848623489e+19,1.0021260287705799e+20,-1.371912013632929e+20
664.0cm-1,6.010010796366268e+18,8.159314830325321e+18,-1.416932562669181e+19
665.0cm-1,-4.850409978291866e+18,2.7773691338541885e+20,-2.7288650340712366e+20
666.0cm-1,5.800013607515377e+18,1.5971455674442334e+19,-2.1771469281957556e+19
667.0cm-1,-5.349047931755875e+19,7.556652386532871e+19,-2.2076044547770462e+19
668.0cm-1,-1.0415462504408453e+21,1.5342951702066058e+21,-4.927489197657319e+20
669.0cm-1,-1.191131972170118e+21,2.0055239943333111e+21,-8.143920221631731e+20
670.0cm-1,-4.603872094547629e+20,7.200127547653486e+20,-2.5962554531060285e+20
671.0cm-1,-1.649259431623404e+18,1.6894505648197714e+19,-1.5245246216574087e+19
672.0cm-1,5.2095180513604846e+19,2.4354658802218248e+20,-2.9564176853578344e+20
673.0cm-1,8.950982275525286e+18,8.628721773256629e+19,-9.523820000809352e+19
674.0cm-1,2.4211825457854762e+20,7.970271709435548e+20,-1.0391454255221249e+21
675.0cm-1,-2.620983767130165e+19,3.3333673989911216e+20,-3.07126902227814e+20
676.0cm-1,9.446080112991542e+19,1.496567382115398e+21,-1.591028183245281e+21
677.0cm-1,-5.538256934881318e+21,-1.1453240739188482e+21,6.683581008800177e+21
678.0cm-1,9.406968121986339e+20,8.157934384885672e+20,-1.7564902506871477e+21
679.0cm-1,-1.0059196188814559e+20,3.963606080029494e+20,-2.9576864611479434e+20
680.0cm-1,-8.264310486161527e+18,2.0251327822241278e+20,-1.9424896773624437e+20
681.0cm-1,-4.07238128707043e+19,6.389176842346438e+19,-2.316795555275921e+19
