nu,sw
586.716941,9.72e-26
586.716943,9.460000000000001e-26
586.753244,9.520000000000001e-26
587.608899,1.13e-25
587.608901,1.07e-25
587.608901,1.0999999999999999e-25
587.64557,1.05e-25
587.645571,1.11e-25
587.645572,1.08e-25
588.499822,1.31e-25
588.499823,1.24e-25
588.499823,1.28e-25
588.536865,1.21e-25
588.536866,1.29e-25
588.536867,1.25e-25
589.389702,1.51e-25
589.389702,1.43e-25
589.389703,1.47e-25
589.427116,1.4e-25
589.427117,1.48e-25
589.427119,1.44e-25
589.490201,1.0999999999999999e-25
589.490205,1.05e-25
589.490205,1.08e-25
589.527007,1.03e-25
589.52701,1.08e-25
589.52701,1.06e-25
590.27853,1.64e-25
590.278531,1.73e-25
590.278531,1.68e-25
590.316313,1.5999999999999998e-25
590.316314,1.69e-25
590.316316,1.65e-25
590.385359,1.31e-25
590.385363,1.27e-25
590.385363,1.24e-25
590.422611,1.22e-25
590.422613,1.25e-25
590.422613,1.28e-25
591.166301,1.86e-25
591.166302,1.92e-25
591.166302,1.98e-25
591.204445,1.82e-25
591.204445,1.94e-25
591.204447,1.87e-25
591.279525,1.54e-25
591.279528,1.5e-25
591.279529,1.46e-25
591.317239,1.43e-25
591.317241,1.51e-25
591.317241,1.47e-25
592.053008,2.12e-25
592.053009,2.1899999999999998e-25
592.053009,2.26e-25
592.091498,2.1999999999999997e-25
592.091498,2.06e-25
592.0915,2.13e-25
592.172688,1.79e-25
592.172691,1.7499999999999999e-25
592.172692,1.7e-25
592.210882,1.6699999999999999e-25
592.210884,1.76e-25
592.210884,1.71e-25
592.816363,1.11e-25
592.816369,1.08e-25
592.816371,1.06e-25
592.852205,1.04e-25
592.852206,1.06e-25
592.852207,1.09e-25
592.938645,2.4e-25
592.938646,2.48e-25
592.938647,2.56e-25
592.97746,2.5e-25
592.97746,2.34e-25
592.977462,2.42e-25
593.06484,2.09e-25
593.064842,1.98e-25
593.064842,2.04e-25
593.103529,1.94e-25
593.10353,2.05e-25
593.103531,1.9899999999999999e-25
593.714374,1.33e-25
593.71438,1.3e-25
593.714381,1.27e-25
593.750658,1.25e-25
593.75066,1.31e-25
593.75066,1.28e-25
593.823207,2.71e-25
593.823209,2.8e-25
593.823211,2.9e-25
593.862316,2.83e-25
593.862317,2.63e-25
593.862319,2.73e-25
593.955969,2.43e-25
593.955971,2.37e-25
593.955971,2.3e-25
593.995169,2.25e-25
593.995171,2.38e-25
593.995172,2.32e-25
594.611455,1.59e-25
594.611461,1.56e-25
594.611462,1.52e-25
594.648203,1.49e-25
594.648204,1.57e-25
594.648204,1.53e-25
594.706692,3.04e-25
594.706694,3.15e-25
594.706696,3.26e-25
594.746052,3.18e-25
594.746053,2.95e-25
594.746055,3.06e-25
594.846067,2.82e-25
594.846069,2.74e-25
594.846069,2.66e-25
594.885794,2.6e-25
594.885795,2.76e-25
594.885796,2.6799999999999998e-25
595.507595,1.89e-25
595.507601,1.85e-25
595.507602,1.8e-25
595.544826,1.77e-25
595.544828,1.85e-25
595.544828,1.81e-25
595.589097,3.4e-25
595.589099,3.53e-25
595.589102,3.6599999999999997e-25
595.62865,3.56e-25
595.628652,3.3e-25
595.628654,3.43e-25
595.735125,3.25e-25
595.735126,3.07e-25
595.735126,3.16e-25
595.775391,2.99e-25
595.775392,3.18e-25
595.775393,3.09e-25
596.402783,2.24e-25
596.402788,2.1899999999999998e-25
596.402789,2.14e-25
596.440519,2.09e-25
596.440521,2.15e-25
596.440521,2.1999999999999997e-25
596.470421,3.79e-25
596.470423,3.93e-25
596.470427,4.09e-25
596.510092,3.97e-25
596.510094,3.67e-25
596.510096,3.8199999999999997e-25
596.623133,3.73e-25
596.623134,3.52e-25
596.623134,3.62e-25
596.663951,3.6499999999999998e-25
596.663953,3.54e-25
596.750163,9.790000000000001e-26
596.750174,9.59e-26
596.784201,9.430000000000001e-26
596.784202,9.62e-26
597.297006,2.65e-25
597.297011,2.59e-25
597.297012,2.53e-25
597.33527,2.47e-25
597.335271,2.54e-25
597.335272,2.6e-25
597.350666,4.2e-25
597.350669,4.37e-25
597.350673,4.55e-25
597.390354,4.42e-25
597.390357,4.07e-25
597.390358,4.24e-25
597.510084,4.01e-25
597.510084,4.27e-25
597.510084,4.14e-25
597.551461,4.17e-25
597.551461,3.91e-25
597.551463,4.04e-25
597.650425,1.2e-25
597.650435,1.1799999999999999e-25
597.650437,1.15e-25
597.684874,1.15e-25
597.684875,1.1799999999999999e-25
597.684876,1.13e-25
598.190254,3.12e-25
598.190258,3.05e-25
598.190259,2.97e-25
598.229067,2.9e-25
598.229069,3.06e-25
598.229069,2.98e-25
598.229839,4.64e-25
598.229842,4.84e-25
598.229847,5.0299999999999995e-25
598.269411,4.89e-25
598.269413,4.49e-25
598.269415,4.68e-25
598.395967,4.56e-25
598.395968,4.7099999999999995e-25
598.395968,4.86e-25
598.437912,4.44e-25
598.437912,4.74e-25
598.437914,4.59e-25
598.549845,1.46e-25
598.549855,1.43e-25
598.549857,1.4e-25
598.584724,1.4e-25
598.584726,1.43e-25
598.584726,1.37e-25
599.082514,3.6599999999999997e-25
599.082518,3.57e-25
599.082519,3.47e-25
599.107948,5.099999999999999e-25
599.107951,5.32e-25
599.107956,5.55e-25
599.121901,3.4e-25
599.121902,3.4899999999999998e-25
599.121902,3.59e-25
599.147228,5.38e-25
599.147231,4.93e-25
599.147233,5.14e-25
599.280777,5.15e-25
599.280778,5.5e-25
599.280778,5.32e-25
599.32329,5.3599999999999995e-25
599.32329,5.01e-25
599.323292,5.18e-25
599.448411,1.76e-25
599.44842,1.72e-25
599.448421,1.68e-25
599.48374,1.69e-25
599.483741,1.73e-25
599.483742,1.66e-25
599.973776,4.27e-25
599.97378,4.05e-25
599.97378,4.16e-25
599.985009,5.59e-25
599.985012,5.84e-25
599.985018,6.11e-25
600.013759,3.96e-25
600.013761,4.18e-25
600.013761,4.07e-25
600.023768,5.91e-25
600.023771,5.38e-25
600.023773,5.64e-25
600.164505,5.8e-25
600.164507,6e-25
600.164508,6.21e-25
600.207584,5.64e-25
600.207584,6.05e-25
600.207586,5.84e-25
600.346107,2.12e-25
600.346116,2.08e-25
600.346117,2.03e-25
600.381909,2.04e-25
600.38191,1.9899999999999999e-25
600.38191,2.09e-25
600.861044,6.099999999999999e-25
600.861048,6.39e-25
600.861055,6.69e-25
600.864028,4.96e-25
600.864032,4.83e-25
600.864032,4.7e-25
600.898978,6.47e-25
600.898981,5.86e-25
600.898983,6.16e-25
600.904632,4.59e-25
600.904633,4.86e-25
600.904634,4.7199999999999995e-25
601.047146,6.51e-25
601.047148,6.74e-25
601.04715,6.9899999999999995e-25
601.090779,6.8e-25
601.090781,6.32e-25
601.090782,6.56e-25
601.242921,2.55e-25
601.24293,2.5e-25
601.242931,2.44e-25
601.279217,2.39e-25
601.279217,2.51e-25
601.279217,2.45e-25
601.73609,6.63e-25
601.736094,6.96e-25
601.736102,7.3099999999999995e-25
601.75326,5.73e-25
601.753263,5.57e-25
601.753263,5.42e-25
601.772791,7.05e-25
601.772794,6.36e-25
601.772797,6.699999999999999e-25
601.794509,5.29e-25
601.79451,5.6e-25
601.794511,5.44e-25
601.928695,7.27e-25
601.928697,7.54e-25
601.928699,7.82e-25
601.972863,7.61e-25
601.972864,7.05e-25
601.972866,7.329999999999999e-25
602.138839,3.06e-25
602.138847,2.99e-25
602.138849,2.92e-25
602.175651,2.93e-25
602.175652,3e-25
602.175652,2.86e-25
602.256639,9.470000000000001e-26
602.610196,7.18e-25
602.6102,7.56e-25
602.610209,7.9599999999999995e-25
602.641461,6.6e-25
602.641464,6.23e-25
602.641464,6.41e-25
602.645118,7.66e-25
602.64512,6.87e-25
602.645123,7.26e-25
602.683378,6.08e-25
602.683379,6.45e-25
602.68338,6.26e-25
602.809147,8.09e-25
602.809149,8.39e-25
602.809152,8.72e-25
602.853817,8.47e-25
602.853819,7.84e-25
602.853821,8.15e-25
603.033848,3.64e-25
603.033855,3.56e-25
603.033857,3.47e-25
603.0712,3.57e-25
603.0712,3.4899999999999998e-25
603.0712,3.4e-25
603.157384,1.1799999999999999e-25
603.157402,1.15e-25
603.157405,1.13e-25
603.189783,1.13e-25
603.189785,1.16e-25
603.189794,1.11e-25
603.483436,7.75e-25
603.48344,8.19e-25
603.483449,8.63e-25
603.515832,8.3e-25
603.515833,7.399999999999999e-25
603.515836,7.84e-25
603.52862,7.57e-25
603.528622,7.35e-25
603.528622,7.13e-25
603.571229,6.95e-25
603.57123,7.399999999999999e-25
603.571231,7.17e-25
603.688501,8.95e-25
603.688503,9.31e-25
603.688507,9.68e-25
603.733625,9.4e-25
603.733628,8.66e-25
603.73363,9.02e-25
603.927933,4.32e-25
603.92794,4.22e-25
603.927942,4.12e-25
603.96585,4.03e-25
603.96585,4.13e-25
603.965851,4.24e-25
604.057399,1.45e-25
604.057417,1.4199999999999999e-25
604.057419,1.39e-25
604.090207,1.4e-25
604.090208,1.4199999999999999e-25
604.090216,1.37e-25
604.35592,8.33e-25
604.355922,8.82e-25
604.355933,9.35e-25
604.384753,7.93e-25
604.384755,8.95e-25
604.384758,8.42e-25
604.414727,8.64e-25
604.414728,8.13e-25
604.414729,8.38e-25
604.458052,7.92e-25
604.458052,8.43e-25
604.458054,8.18e-25
