wavenumber,NO2,SO2
587,1.0033320999702018e-25,1.4074528178620452e-25
588,1.17542691249634e-25,2.182201875488656e-22
589,1.3911932906130594e-25,5.5342995090050695e-22
590,1.4250391207153225e-25,6.476384764317946e-25
591,1.7303023579780993e-25,8.112233332775678e-27
592,2.0731710446377936e-25,5.653827286455429e-25
593,2.33488086245951e-25,3.3549557030938124e-25
594,2.3142811338297793e-25,2.813368573161098e-26
595,2.534903015283111e-25,8.448667936044908e-27
596,2.7856981303495504e-25,1.2196553586077025e-25
597,1.6723435698628395e-25,9.094170854282312e-28
598,2.370846969990778e-25,5.507698378654909e-28
599,3.280406558615485e-25,4.537855207191779e-25
600,4.989256114958538e-25,1.258791484215457e-26
601,5.917829937128172e-25,1.8997103267713884e-25
602,6.631921517354072e-25,9.48130356390421e-27
603,4.487953251457612e-25,6.467714285312609e-27
604,3.1992813605989127e-25,2.095485947995072e-26
605,1.9778862547287235e-25,1.0018153054410291e-27
606,6.005122448299702e-25,5.4019930991255635e-25
607,1.12781443691122e-24,2.904767136119842e-26
608,1.335583404192157e-24,2.0658293783657213e-25
609,1.5197103987447029e-24,9.18689977681629e-25
610,1.470845780371343e-24,1.2590384349879756e-27
611,1.495974128579608e-24,1.845537130818901e-27
612,9.974852410631285e-25,1.1170355461872895e-22
613,3.6295697469183287e-25,1.185342370778771e-27
614,6.118745591690266e-25,2.5585407925421076e-26
615,1.9252445273068022e-24,2.7224510385857715e-27
616,2.975336662914092e-24,1.4460931944214148e-27
617,3.170393449508418e-24,9.579082087754848e-26
618,1.1111091086423237e-25,2.1589870654896284e-28
619,3.994887948207171e-24,6.196225550042364e-26
620,5.915751623979446e-25,3.0857928949312673e-28
621,3.1344930173300236e-24,6.26930459773828e-26
622,8.54926409521624e-25,1.448228250015769e-25
623,6.181349077074962e-25,1.2694276527337585e-26
624,1.22e-25,3.106485753996143e-28
625,9.308431998239324e-25,3.303943410353949e-28
626,6.668533694465472e-24,3.0302197931994007e-25
627,6.689686640481179e-25,5.105446373423995e-26
628,9.912988039183862e-26,1.652617848934961e-27
629,1.7813677984694155e-24,2.080156534826646e-24
630,3.509890142725383e-24,9.071934577110776e-27
631,1.101695435208502e-24,4.322905852470188e-28
632,1.4591241610794976e-24,8.282365563032773e-25
633,5.405717689833599e-24,1.5983549888972686e-28
634,8.985501347221418e-24,3.1714337765131996e-24
635,2.3350784774146353e-24,1.006903506656275e-27
636,1.830143498031073e-24,2.398609623678838e-27
637,4.519238187760509e-24,1.0993729454576683e-26
638,3.5148587570474637e-25,1.1468253980902004e-27
639,2.4311591901545616e-24,3.0087703955732985e-27
640,9.650680247969072e-25,2.4026054616409304e-26
641,5.688269390133061e-25,9.776532711118861e-28
642,1.7471941334907214e-25,1.0099494537037901e-26
643,1.7945904173138935e-23,3.4241148084045706e-24
644,3.2829887033524327e-24,3.130168121917626e-28
645,8.745560966655638e-24,2.6915332603875263e-27
646,1.7856856994998135e-25,5.533206855317061e-26
647,3.4009023862205886e-24,9.936726580328257e-28
648,2.07628288654506e-24,7.414471332868387e-26
649,1.6312636473140814e-23,8.66679156851776e-27
650,7.100316456113608e-25,8.684801660944728e-28
651,1.3125883426206839e-23,4.448924504821883e-28
652,1.9404621786568867e-24,3.1135780148713965e-26
653,6.269633429253297e-25,9.437116363109583e-28
654,1.3604468656378587e-25,8.082827586230805e-28
655,2.2199240218041e-24,1.6698395717201098e-26
656,6.964512123002627e-24,1.4693726592428428e-28
657,2.1297729632419974e-24,1.038416990260521e-27
658,2.5055789080477994e-23,7.527510952907818e-27
659,6.608206892354181e-25,1.0655612033212547e-27
660,3.537533172889497e-24,2.178207900204225e-28
661,6.515768019249675e-25,3.1825261805289274e-27
662,4.26086042745893e-24,3.0793564711306913e-27
663,2.9769254592707886e-24,3.791620957143088e-27
664,3.7830875634967853e-23,1.7032082144524784e-25
665,1.6945907592704574e-24,5.63471567272302e-27
666,2.6422660388457128e-23,6.505153142345122e-28
667,5.701321009356782e-24,3.641490577400045e-27
668,1.9483805240402536e-25,7.647555379843834e-27
669,2.171143817803887e-25,2.7041345932552694e-27
670,8.29e-25,2.992694594345622e-27
671,2.784026193253001e-23,2.25587442477599e-26
672,1.4841014257033138e-24,6.685062674186913e-28
673,4.351146209809989e-24,1.8055880517161777e-26
674,4.523168541869126e-25,1.5336301241464862e-27
675,7.833710859251901e-25,5.239188288383141e-27
676,2.2293325092688797e-25,6.352470225599161e-27
677,1.1555798064146024e-25,2.717361121705904e-25
678,1.6884215573482922e-25,1.9287822977460622e-26
679,1.1478201528410859e-24,1.1516886735494224e-27
680,1.7693193837946872e-24,3.463917200162712e-27
681,6.520687736161256e-24,3.8097993637947646e-27
682,4.058103952032363e-25,2.037249973301982e-27
683,1.0325256734203311e-23,9.340229052312411e-28
684,9.152320470820893e-24,3.59381332305824e-27
685,5.307884547462087e-23,1.9046995889488786e-28
686,4.5038304943509004e-24,2.484752458978252e-27
687,1.6832974087144643e-24,7.373459644749002e-28
688,6.8568019678948845e-25,1.1635492439990926e-27
689,1.995695220064153e-23,6.50440530560923e-27
690,4.342574219329137e-24,5.6623709450774675e-28
691,1.3082825982783783e-23,1.227479034567057e-28
692,1.9894697928017573e-24,2.077561963093204e-28
693,8.536170048021787e-24,1.4092468805431619e-27
694,1.374860197914095e-24,7.669004870329762e-27
695,1.6955665360521576e-25,1.6024372093051933e-28
696,4.360414113806369e-24,2.9665000000000003e-26
697,1.7597067448680367e-23,1.909863702039524e-27
698,9.979585375043021e-25,5.454217549639526e-28
699,2.5705677237938564e-25,4.0699954103858645e-28
700,6.659351793559597e-24,2.7136889419782758e-27
701,6.441415534288106e-25,1.0789426142319787e-26
702,1.2489406779638359e-23,1.1165394460506196e-27
703,1.2326396983687114e-23,1.6522661509460228e-27
704,6.035997156089437e-25,6.66064294460068e-28
705,9.045552535303435e-25,1.597214677482902e-27
706,2.5457123918503926e-25,5.23907901157909e-28
707,5.75461677186608e-25,1.018074812230675e-27
708,5.429419277631311e-24,2.6464223936164113e-27
709,9.220978836931206e-24,3.3268900615794744e-27
710,1.6799551405002668e-24,4.262322193143339e-27
711,1.2019368791357744e-24,4.394515483418708e-28
712,4.9228607950071916e-24,3.0360638606664123e-28
713,1.1243928209617046e-23,2.2783888310987196e-28
714,4.3325337856197395e-25,9.972246782329883e-28
715,8.81946913152353e-25,1.5875579166637013e-28
716,1.7024632440831932e-24,1.8403894635650835e-27
717,1.4210929600365948e-23,2.1231375442071814e-28
718,6.515857664211874e-24,2.8090037702087375e-28
719,8.708565683636854e-25,1.741001161418984e-27
720,2.9398558131059836e-25,1.6685025966817064e-27
721,1.991129122498072e-23,4.118463673783564e-27
722,7.338013091958857e-24,6.649836149859114e-28
723,2.274606019154746e-25,1.2253498760076847e-27
724,2.2269464002961685e-23,4.97525174553795e-28
725,1.3975710533883286e-23,7.699718579783064e-28
726,8.631633021077724e-24,1.6909785507572579e-28
727,1.4080986371854362e-23,2.9538822681961357e-28
728,2.4205814686183375e-23,9.244871029825923e-28
729,8.487464219672727e-24,7.454852891397458e-28
730,3.2251820034131418e-24,4.084827067219716e-28
731,1.040265120666023e-23,1.1453471517932424e-27
732,3.378319018402759e-24,4.278017515290883e-27
733,7.34142451868663e-24,1.3661712193559184e-27
734,3.056596374602717e-24,2.0649010945855376e-27
735,1.653640781676896e-24,2.7932056968332886e-27
736,2.9945750969029853e-24,4.779197411015664e-27
737,4.012573388657472e-23,1.2850198697064694e-28
738,6.355867053871193e-23,1.8772570501190763e-27
739,4.41e-24,2.6408392214878905e-27
740,3.280306967770773e-23,3.4962377718069848e-28
741,2.17414120302519e-24,5.205484487701376e-28
742,2.3708766535568772e-24,3.0562062932939948e-27
743,1.9391327377155766e-24,2.7945107719878927e-27
