wavenumber,mixed_spectrum
587,1.2458045307053078e-25
588,1.309791296058192e-22
589,3.321136182719287e-22
590,4.455846506876896e-25
591,7.407943431878939e-26
592,4.221564789728374e-25
593,2.946925766840091e-25
594,1.094514567921578e-25
595,1.0646532137295138e-25
596,1.8460724673044416e-25
597,6.743939304577053e-26
598,9.516434070235041e-26
599,4.034875747761261e-25
600,2.0712299350363426e-25
601,3.506958170914102e-25
602,2.709656428325054e-25
603,1.8339875862949206e-25
604,1.4054417011192694e-25
605,7.971653937241358e-26
606,5.643244838795219e-25
607,4.685543775812071e-25
608,6.581831243788062e-25
609,1.1590981461068585e-24
610,5.8909373520953e-25
611,5.994969737103346e-25
612,6.742112686766261e-23
613,1.4589399529920042e-25
614,2.601010684228633e-25
615,7.717312815458724e-25
616,1.1910023210822897e-24
617,1.3256318723298965e-24
618,4.457390356962233e-26
619,1.6351325325831228e-24
620,2.368152125328737e-25
621,1.2914130345184395e-24
622,4.288642588095958e-25
623,2.5487052899940105e-25
624,4.8986389145239767e-26
625,3.725355165341942e-25
626,2.849226665378153e-24
627,2.9822014385979113e-25
628,4.0643522866096425e-26
629,1.960641040283754e-24
630,1.4093992178364199e-24
631,4.40937548434549e-25
632,1.0805915982137655e-24
633,2.162382977232774e-24
634,5.497060804796487e-24
635,9.346355330698482e-25
636,7.334965649866367e-25
637,1.8142915127769497e-24
638,1.412824455207527e-25
639,9.742689382991685e-25
640,4.0044284268860846e-25
641,2.281173675679896e-25
642,7.59474620618516e-26
643,9.232830554298318e-24
644,1.3133832914282882e-24
645,3.499839306618489e-24
646,1.0462666911189492e-25
647,1.3609571580830551e-24
648,8.749999826152343e-25
649,6.530254664197437e-24
650,2.84533746344201e-25
651,5.250620305953026e-24
652,7.948663395519831e-25
653,2.513515641519184e-25
654,5.49028442806882e-26
655,8.979886461519608e-25
656,2.7858930115606056e-24
657,8.525322354909552e-25
658,1.0026832138762945e-23
659,2.6496761241616004e-25
660,1.4151439616298112e-24
661,2.6254023647830435e-25
662,1.7061917848662502e-24
663,1.1930451562826013e-24
664,1.5234542746854286e-23
665,6.812171331118168e-25
666,1.0569454464571392e-23
667,2.282713298089153e-24
668,8.252375418951644e-26
669,8.846823346810864e-26
670,3.333956167566074e-25
671,1.114964001956066e-23
672,5.940416740417767e-25
673,1.7512920122342927e-24
674,1.8184691974925295e-25
675,3.164919473431059e-25
676,9.298478250611471e-26
677,2.0926485955893834e-25
678,7.910955608040807e-26
679,4.59819074340564e-25
680,7.098061038379725e-25
681,2.6105609740827798e-24
682,1.6354650806527572e-25
683,4.130663107424464e-24
684,3.663084476322192e-24
685,2.1231652471823684e-23
686,1.803023049215747e-24
687,6.737613710644708e-25
688,2.749702082621949e-25
689,7.986683523439979e-24
690,1.7373694299883598e-24
